id,short_name,stadium,capacity,city 
1,samara,Samara Arena|Samara|Cosmos Arena,   45000, Samara
2,nizhnynovgorod,Nizhny Novgorod Stadium|Nizhny Novgorod,  45000, Nizhny Novgorod
3,volgograd,Volgograd Arena|Volgograd, 45000, Volgograd
4,ekaterinburg,Ekaterinburg Arena|Ekaterinburg|Central Stadium, 35000, Ekaterinburg
5,mordovia,Mordovia Arena|Mordovia, 44000, Saransk
6,rostov,Rostov Arena|Rostov, 45000, Rostov-on-Don
7,kaliningrad,Kaliningrad Stadium|Kaliningrad|Arena Baltika,  35000, Kaliningrad
8,kazan,Kazan Arena|Kazan, 45000, Kazan
9,fisht, Fisht Stadium|Fisht|Fisht Olympic Stadium, 45000, Sochi
10,saintpetersburg,  Saint Petersburg Stadium|Saint Petersburg|Krestovsky Stadium|Zenit Arena, 67000, Saint Petersburg
11,spartak,Spartak Stadium|Spartak|Otkritie Arena|Otkrytiye Arena,  45000, Moscow
12,luzhniki,Luzhniki Stadium|Luzhniki, 80000, Moscow


