goalsAgainst,points,goals,teamId,crestURI,rank,team,playedGames,group,goalDifference
0,0,0,773,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_France.svg,0,France,0,C,0
0,0,0,779,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg,0,Australia,0,C,0
0,0,0,832,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,0,Peru,0,C,0
0,0,0,782,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,0,Denmark,0,C,0
0,0,0,805,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,0,Belgium,0,G,0
0,0,0,1836,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,0,Panama,0,G,0
0,0,0,802,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,0,Tunisia,0,G,0
0,0,0,770,https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_England.svg,0,England,0,G,0
0,0,0,808,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg,0,Russia,0,A,0
0,0,0,801,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,0,Saudi Arabia,0,A,0
0,0,0,825,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,0,Egypt,0,A,0
0,0,0,758,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,0,Uruguay,0,A,0
0,0,0,762,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,0,Argentina,0,D,0
0,0,0,1066,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,0,Iceland,0,D,0
0,0,0,799,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,0,Croatia,0,D,0
0,0,0,776,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,0,Nigeria,0,D,0
0,0,0,759,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg,0,Germany,0,F,0
0,0,0,769,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,0,Mexico,0,F,0
0,0,0,792,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg,0,Sweden,0,F,0
0,0,0,772,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,0,Korea Republic,0,F,0
0,0,0,793,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Costa_Rica_%28state%29.svg,0,Costa Rica,0,E,0
0,0,0,780,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,0,Serbia,0,E,0
0,0,0,764,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg,0,Brazil,0,E,0
0,0,0,788,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,0,Switzerland,0,E,0
0,0,0,794,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg,0,Poland,0,H,0
0,0,0,804,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,0,Senegal,0,H,0
0,0,0,818,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,0,Colombia,0,H,0
0,0,0,766,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg,0,Japan,0,H,0
0,0,0,815,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,0,Morocco,0,B,0
0,0,0,840,,0,Iran,0,B,0
0,0,0,765,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,0,Portugal,0,B,0
0,0,0,760,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Spain.svg,0,Spain,0,B,0
