caption,id,numberOfTeams,year,lastUpdated,numberOfGames,currentMatchday,numberOfMatchdays,league
World Cup 1930 Uruguay,378,16,1930,2015-02-27T15:00:12Z,18,1,30,WC
World Cup 1934 Italy,377,16,1934,2015-02-27T14:56:13Z,17,1,30,WC
World Cup 1938 France,376,32,1938,2015-02-27T14:42:38Z,18,1,62,WC
World Cup 1950 Brazil,379,32,1950,2015-02-27T14:51:24Z,22,1,62,WC
World Cup 1954 Switzerland,382,32,1954,2015-02-27T16:19:50Z,26,1,62,WC
World Cup 1958 Sweden,374,32,1958,2015-02-27T14:33:02Z,35,1,62,WC
World Cup 1962 Chile,380,32,1962,2015-02-27T15:05:16Z,32,1,62,WC
World Cup 1966 England,407,16,1966,2015-10-02T12:57:48Z,32,1,30,WC
World Cup 1970 Mexico,409,16,1970,2015-10-02T13:11:52Z,32,1,30,WC
World Cup 1974 Germany,375,32,1974,2015-02-27T14:34:33Z,38,1,62,WC
World Cup 1978 Argentina,381,32,1978,2015-02-27T15:17:51Z,38,1,62,WC
World Cup 1982 Spain,373,32,1982,2015-02-27T14:11:56Z,52,1,62,WC
World Cup 1986 Mexico,372,32,1986,2015-02-27T09:59:55Z,52,1,62,WC
World Cup 1990 Italy,371,32,1990,2015-02-27T09:58:33Z,52,1,62,WC
World Cup 1994 USA,370,32,1994,2015-02-27T09:54:22Z,52,1,62,WC
World Cup 1998 France,369,32,1998,2015-02-27T16:08:21Z,64,1,62,WC
World Cup 2002 South Korea / Japan,367,32,2002,2015-02-20T00:39:11Z,64,1,62,WC
World Cup 2006 Germany,366,32,2006,2015-02-19T07:22:58Z,64,1,62,WC
World Cup 2010 South Africa,365,32,2010,2015-02-19T07:21:31Z,64,1,62,WC
World Cup 2014 Brasil,406,32,2014,2017-11-29T12:51:58Z,64,1,8,WC
World Cup 2018 Russia,467,32,2018,2018-05-25T07:21:47Z,64,1,8,WC
